"Route_Code","Route_Name","Verdict","Category","Eng_Type","Eng_KM","Real_KM_mid","KM_Delta","Real_RoadKM_raw","Eng_O","Eng_D","Finding","Sources","osrm_km","osrm_min","repro_eng","osrm_matches_real","root","osrm_km","osrm_min","repro_eng","osrm_matches_real","root"
"SRBG02023902","Srinagar to Badrun","REVIEW","OVER_OSRM","Regional_District","33.307","25.0","33","24-26","34.07457,74.820502","34.034217,74.545671","Badran/Budran is a village in Beerwah/Magam tehsil ~25 km from Srinagar; engine 33.3 km is ~33% high (likely a via-routing/coord overshoot west). Corridor real and served. Suggest trimming Route_KM toward ~25 km.","onefivenine.com (Budran/Khag); en.wikipedia.org/wiki/Badran,_Kashmir; en.wikipedia.org/wiki/Beerwah","33.3","34.6","True","False","COORD_OR_DETOUR","33.3","34.6","True","False","COORD_OR_DETOUR"
"SRBG02013902","Srinagar to Beeru","REVIEW","UNDER_OTHER","Regional_District","15.277","25.0","-39","~25","34.07457,74.820502","34.014196,74.718705","Raiyar (Beeru) in Khan-Sahib block is ~25 km from Srinagar by road; engine coord (34.014,74.719) sits only 11.5 km straight-line, pinned too close to Srinagar (real Beeru ~33.96N,74.65E). Engine 15.3 km under-models by ~39%. Re-pin endpoint and re-route.","onefivenine.com/Raiyar-Beeru/Khan-sahib; villageinfo.in raiyar-beruwa; budgam.nic.in Doodhpathri","15.3","12.5","True","False","COORD_OR_DETOUR","15.3","12.5","True","False","COORD_OR_DETOUR"
"SRBG02023904","Srinagar to Chewdara","REVIEW","OVER_OSRM","Regional_District","28.163","23.0","22","~23","34.07457,74.820502","34.026765,74.605522","Chewdara (Beerwah block) is ~23 km from Srinagar (3 km from Beerwah). Engine 28.2 km is ~22% high. Real corridor and service exist; trim Route_KM toward ~23 km.","onefivenine.com Chewdara-A/Beerwah; en.wikipedia.org/wiki/Chewdara; indiainfo.net pincode 193411","28.2","35.5","True","False","COORD_OR_DETOUR","28.2","35.5","True","False","COORD_OR_DETOUR"
"SRKW02013901","Srinagar to Chowkibal","REVIEW","UNDER_MOUNTAIN","Regional_District","94.972","125.5","-24","125-126","34.07457,74.820502","34.52207,74.185035","Chowkibal (Kupwara, on the Tangdhar/Sadhna Pass approach) real road ~125 km; engine 94.97 km under-models by ~25% - routing engine under-counts the Srinagar-Kupwara-Chowkibal hill road. Corridor real, near LoC. Lengthen Route_KM/cycle.","distancesfrom.com srinagar-to-Chowkibal-Kupwara (125 km); alldistancebetween.com srinagar-chowkibal-kupwara","95.0","80.8","True","False","COORD_OR_DETOUR","95.0","80.8","True","False","COORD_OR_DETOUR"
"SRKW02033901","Srinagar to Dardpora","REVIEW","OTHER_MINOR","Regional_District","106.39","102.0","4","98-106","34.07457,74.820502","34.509274,74.083674","Two Dardporas in Kupwara; engine coord (far-west 74.08E) is the Kralpora/LoC-side village, plausibly ~98-106 km road. Engine 106 km OK against that. BORDER/permit belt, single-lane, winter-prone - feasibility caveat (seasonality unmodelled).","onefivenine.com Dardpora/Sogam & Dardpora-A/Kralpora; kupwara.nic.in Lolab; yatra.com srinagar-kupwara","106.4","94.0","True","True","STALE_RERUN_FIXES","106.4","94.0","True","True","STALE_RERUN_FIXES"
"SRBG02023905","Srinagar to Isganderpora","REVIEW","OVER_OSRM","Regional_District","33.616","26.5","27","~25-28","34.07457,74.820502","34.025543,74.567653","Iskanderpora (Beerwah block, pincode 193411 with Beerwah/Chewdara/Kandoora) sits in the ~25-28 km belt; engine 33.6 km is ~27% high (via-routing overshoot). Real corridor; trim Route_KM.","indiainfo.net pincode 193411 (Kandoora cluster); onefivenine.com Beerwah villages; en.wikipedia.org/wiki/Beerwah","33.6","36.8","True","False","COORD_OR_DETOUR","33.6","36.8","True","False","COORD_OR_DETOUR"
"SRKW02033902","Srinagar to Khoor","REVIEW","OTHER_MINOR","Regional_District","111.183","107.5","3","100-115","34.07457,74.820502","34.592901,74.136245","Corridor and coords real (Khoor is a hamlet in the Trehgam/Lolab belt of NW Kupwara) and KM is sound. But a flat 50-min headway / 9 buses massively over-provisions a remote border-belt route that realistically runs only 1-2 services/day; size by demand (load 0.159). Note winter/seasonal access not modelled.","jksrtc.co.in/pdf/timekashmirr.pdf, kashmirreader.com (JKRTC Qadir Abad-Srinagar), distancesfrom.com","111.2","108.2","True","True","STALE_RERUN_FIXES","111.2","108.2","True","True","STALE_RERUN_FIXES"
"SRBG02043902","Srinagar to Loolpora","REVIEW","OVER_OSRM","Regional_District","38.921","32.5","20","30-35","34.07457,74.820502","33.856538,74.689486","Real Budgam village/corridor; coords correct district. Engine 38.9 km runs ~17% over a likely ~30-35 km road distance (no exact public figure for Loolpora, benchmarked to Beerwah ~27-35 km). Verify routing not detouring.","en.wikipedia.org/wiki/Beerwah, budgam.nic.in, villageinfo.in","38.9","44.9","True","True","STALE_RERUN_FIXES","38.9","44.9","True","True","STALE_RERUN_FIXES"
"SRBG02023907","Srinagar to Mirpora Budgam","REVIEW","OVER_OSRM","Regional_District","31.366","24.0","31","22-26","34.07457,74.820502","34.041268,74.620454","Mirpora is a real Budgam hamlet; coords in correct district. Engine 31.4 km is ~31% over a likely 22-26 km road distance (no exact published figure; benchmarked vs Budgam ~11-14 km and Chadoora ~20 km). KM looks over-modelled.","budgam.nic.in, villagegram.in (Chadoora villages), en.wikipedia.org/wiki/Chadoora","31.4","43.1","True","False","COORD_OR_DETOUR","31.4","43.1","True","False","COORD_OR_DETOUR"
"SRBG02023909","Srinagar to Narwara Budgam","REVIEW","OVER_OSRM","Regional_District","28.415","24.0","18","22-26","34.07457,74.820502","34.037344,74.624257","Narwara is a real Budgam hamlet (adjacent to Mirpora); coords correct district. Engine 28.4 km ~18% over an estimated 22-26 km road distance (no exact public figure). Mild over-model; otherwise sound.","budgam.nic.in, villagegram.in, en.wikipedia.org/wiki/Chadoora","28.4","36.1","True","True","STALE_RERUN_FIXES","28.4","36.1","True","True","STALE_RERUN_FIXES"
"SRPW02043902","Srinagar to Pasthoon","REVIEW","OVER_OSRM","Regional_District","50.003","41.5","20","38-45","34.07457,74.820502","33.992068,75.075237","Pasthoon is a Tral-tehsil (Pulwama) village; coords correct district. Engine 50.0 km runs ~20% over a likely 38-45 km road via Awantipora (Tral itself is 40 km from Srinagar). KM over-modelled; verify routing.","pulwama.gov.in, en.wikipedia.org/wiki/Tral, yatra.com","50.0","50.2","True","False","COORD_OR_DETOUR","50.0","50.2","True","False","COORD_OR_DETOUR"
"SRPW02033906","Srinagar to Ratnipora","REVIEW","UNDER_OTHER","Regional_District","25.567","32.5","-21","35-40 via Awantipora; ~25 direct","34.07457,74.820502","33.919274,74.94361","Ratnipora is real (~5-6 km from Awantipora). Published distances route via Awantipora (~35-40 km); engine 25.6 km appears to take a more direct line and may UNDER-model the served corridor by ~29%. Confirm the route actually serves Awantipora/NH.","distancesfrom.com (Pulwama-Awantipora), distancebetween2.com (Srinagar-Awantipora), pulwama.gov.in","25.6","24.3","True","False","COORD_OR_DETOUR","25.6","24.3","True","False","COORD_OR_DETOUR"
"SRBG02023910","Srinagar to Ratsun","REVIEW","OVER_OSRM","Regional_District","28.474","22.0","29","20-24","34.07457,74.820502","34.058866,74.594398","Ratsun is a real west-Budgam hamlet; coords correct district. Engine 28.5 km ~25% over an estimated 20-24 km road distance (no exact public figure). Mild over-model.","budgam.nic.in, villagegram.in (Chadoora), en.wikipedia.org/wiki/Chadoora","28.5","27.4","True","False","COORD_OR_DETOUR","28.5","27.4","True","False","COORD_OR_DETOUR"
"SRBG02023911","Srinagar to Shanglipora","REVIEW","OVER_OSRM","Regional_District","42.037","35.0","20","30-40","34.07457,74.820502","33.971646,74.530845","Shanglipora is a village near Beerwah/Khansahib (W Budgam); Beerwah is 27-35 km by road, Shanglipora a few km further (~33-38 km). Modelled 42 km is ~20% high, likely a via-routing detour. Corridor real, headway sane. Fix: verify routing does not loop.","wikipedia.org/wiki/Beerwah; citymeter.net; onefivenine.com","42.0","48.8","True","False","COORD_OR_DETOUR","42.0","48.8","True","False","COORD_OR_DETOUR"
"SRKW02033906","Srinagar to Tangdar","REVIEW","UNDER_MOUNTAIN","Regional_District","120.829","151.0","-20","~150-152","34.07457,74.820502","34.643054,74.149996","Endpoint misplaced ~27 km short of actual Tangdhar (real town 34.40,73.86 across Sadhna Pass). Real road ~150-152 km vs modelled 121 km; engine under-models the 3000m Sadhna Pass switchbacks. 50-min headway is unrealistic for a border road truly served ~1-2 buses/day. Seasonality unmodelled (pass closes in winter).","wanderon.in/blogs/teetwal-valley; mapsofindia.com/villages...karnah/tangdhar; kupwara.nic.in/tourist-place/sadhna","120.8","122.7","True","True","STALE_RERUN_FIXES","120.8","122.7","True","True","STALE_RERUN_FIXES"
"SRKW02013903","Srinagar to Trehgam KUP","REVIEW","OTHER_MINOR","Regional_District","96.17","108.0","-11","~108","34.07457,74.820502","34.517519,74.174306","Trehgam ~21 km beyond Kupwara; Srinagar-Kupwara ~86-87 km + 21 km = ~108 km vs modelled 96 km (~11% under). Corridor real, coords good. 50-min headway optimistic for a far rural town. Fix: bump road km / lengthen headway.","distancesfrom.com kupwara-to-Trehgam; yatra.com srinagar-to-kupwara; distancebetween2.com","96.2","82.0","True","True","STALE_RERUN_FIXES","96.2","82.0","True","True","STALE_RERUN_FIXES"
"SRBR02023902","Srinagar to URI Baramulla","REVIEW","UNDER_MOUNTAIN","Regional_District","77.618","101.0","-23","100-102","34.07457,74.820502","34.145081,74.183855","Uri via Baramulla on NH1 is ~100-102 km by road (distancesfrom 102 km) vs modelled 77.6 km - ~24% under. Engine likely under-routed the Baramulla-Uri mountain leg. Coords good. Corridor real, well-served to Baramulla, thinner Baramulla-Uri (border/army area). Fix: correct road km to ~100 km, refleet/headway.","en.wikipedia.org/wiki/Srinagar-Baramulla_highway; distancesfrom.com srinagar-to-Uri (102 km); nativeplanet.com","77.6","59.0","True","False","COORD_OR_DETOUR","77.6","59.0","True","False","COORD_OR_DETOUR"
"BRSR05020139","Zaloora to Srinagar","REVIEW","OVER_OSRM","Regional_District","63.129","52.0","21","~49-55","34.380329,74.374921","34.07457,74.820502","Zaloora is a village in the Zaingair belt of Sopore division. Srinagar-Sopore ~49 km by road; Zaloora a few km off (~50-55 km). Modelled 63.1 km is ~21% high - likely a via-routing detour. Corridor real and well-served. Fix: verify routing does not loop via Baramulla.","en.wikipedia.org/wiki/Sopore; distancebetween2.com sopore/srinagar (49 km); distancesfrom.com","63.1","50.5","True","False","COORD_OR_DETOUR","63.1","50.5","True","False","COORD_OR_DETOUR"
"SRSR02020427","Batamallo to Pantha Chowk","REVIEW","OVER_OSRM","Peri_Urban","17.436","12.0","45","11-15 (range; airport-Pantha Chowk approx 15km; Srinagar Railway Station to Pantha Chowk 9-11km; Batamaloo adds a few km via city)","34.069343,74.791812","34.028571,74.905785","Corridor and endpoints are real (Batamaloo bus stand and Pantha Chowk are both well-documented hubs) but no source gives a direct Batamaloo-Pantha Chowk road figure; using Srinagar-RS/Airport proxies, real road distance is estimated 11-15km vs the engine's 17.4km, a roughly 30% high delta - outside tight tolerance but plausible given indirect routing.","distancesfrom.com,alldistancebetween.com,yatra.com","13.4","13.6","False","True","STALE_RERUN_FIXES","13.4","13.6","False","True","STALE_RERUN_FIXES"
"SRGB02010501","Batamaloo to Beehama Ganderbal via Hazratbal Zakura","REVIEW","UNDER_OTHER","Peri_Urban","26.584","52.5","-49","20-35 (sources vary; documented SSCL alignment via Soura/90ft Road/Beehama traditionally cited around 35km; direct new-bridge route is shorter at approx 15-20km)","34.068715,74.779627","34.238742,74.801989","Real, well-documented SSCL trunk route (Route 6, Batamaloo-Ganderbal via Soura-Beehama) confirmed by two independent press sources; however the engine's 26.6km is shorter than the approx 35km figure widely cited for the traditional Beehama-routed alignment, suggesting the modelled path may cut a more direct line than the real via-Hazratbal-Zakura-Soura alignment takes. Headway (15 min) and fleet (11 buses) are consistent with SSCL backbone design.","kashmirobserver.net,kashmirlife.net,ganderbal.nic.in","26.6","31.8","True","False","COORD_OR_DETOUR","26.6","31.8","True","False","COORD_OR_DETOUR"
"SRBG02020503","Batamaloo to Budgam Railway Station via Khumeni Chowk","REVIEW","OVER_OSRM","Peri_Urban","15.685","12.0","31","9-15 (yatra.com area distances approx 9km; other aggregator sources approx 15km for the fuller via-Khumeni-Chowk alignment)","34.068715,74.779627","33.990555,74.712541","Real, well-established corridor (Srinagar-Budgam highway via Khumeni Chowk) confirmed by an SSCL route-chart reference and multiple distance sources; engine's 15.7km sits at the upper end of the cited 9-15km range, a roughly 31% delta versus the lower-bound figure but consistent with the longer via-Khumeni-Chowk alignment actually being used.","yatra.com,distancesfrom.com,kashmirlife.net","15.7","20.6","True","False","COORD_OR_DETOUR","15.7","20.6","True","False","COORD_OR_DETOUR"
"SRBG02060502","Batamaloo to Dc Office Budgam","REVIEW","OVER_OSRM","Peri_Urban","15.685","12.0","31","9-15 (same destination area as Budgam Railway Station/town centre; DC Office Budgam sits in the same town)","34.068715,74.779627","33.990555,74.712541","This row has identical origin/destination coordinates and identical KM/Cycle/Fleet to SRBG02020503 (Batamaloo to Budgam Railway Station) - flagged as a likely duplicate/near-duplicate corridor in the dataset. Both places are real and the distance band (9-15km vs engine 15.7km) is the same as its twin; the duplication itself should be reviewed in the engine's route-consolidation logic.","onefivenine.com,budgam.nic.in","15.7","20.6","True","False","COORD_OR_DETOUR","15.7","20.6","True","False","COORD_OR_DETOUR"
"SRPW02030501","Batamaloo to Drussu Pulwama via Marwal","REVIEW","OTHER_MINOR","Peri_Urban","32.735","29.0","13","26-32 (Srinagar-Pulwama road distance cited 26-32km across sources; Drussu and Marwal are real villages slightly beyond Pulwama town, adding a few km)","34.068715,74.779627","33.883537,74.926117","Could not independently confirm the specific named 'Drussu via Marwal' service in public sources, though the general Srinagar-Pulwama corridor (26-32km) is well documented and the modelled 32.7km sits consistently just beyond it (approx 5% above the upper bound), consistent with continuing past Pulwama town to Drussu village. Treat as plausible but unverified at the exact village-name level.","yatra.com,distancebetween2.com,distancefromto.net","32.7","33.5","True","True","STALE_RERUN_FIXES","32.7","33.5","True","True","STALE_RERUN_FIXES"
"SRSR02021523","GBS to LAL Chowk","FAIL","GEOCODE_FAIL","Peri_Urban","20.326","2.6","682","0.3-2 (haversine between the two given coordinates is only 0.32km; if GBS denotes the General Bus Stand Batamaloo, the real road distance Batamaloo-Lal Chowk is commonly cited around 3-5km)","34.068428,74.810015","34.071262,74.810527","Critical data error: the origin (GBS) and destination (Lal Chowk) coordinates are essentially the same point in central Srinagar (0.32km apart by haversine), yet the route is modelled with 20.3km length and a 101.6-minute round-trip cycle (4 buses, 35-min headway). This is geometrically impossible for two points 300m apart and indicates a coordinate or geocoding error - likely GBS was geocoded to a point immediately adjacent to Lal Chowk rather than to the actual General Bus Stand Batamaloo (approx 5km away). The underlying GBS-Lal Chowk corridor concept is plausible only if GBS is correctly resolved to a distinct, distant terminus. Recommend re-geocoding before this route is used in the plan.","onefivenine.com,kashmirlife.net,manual haversine calculation","0.6","1.1","False","False","OTHER","0.6","1.1","False","False","OTHER"
"SRSR01020409","Hazratbal to Bone Joint Hospital Barzalla","REVIEW","OVER_OSRM","Peri_Urban","15.276","10.0","53","8-12 (Hazratbal is cited approx 8-10km from Srinagar city centre/Railway Station; Barzulla/Bone and Joint Hospital is closer to the centre; no single direct point-to-point source found)","34.127549,74.835646","34.057988,74.789692","Both endpoints are real and well-known (Hazratbal shrine, Bone and Joint Hospital Barzulla) and a hospital-access shuttle on this general corridor is plausible (a documented JKRTC route passes near Barzulla), but no direct point-to-point distance source was found; using Hazratbal's general 8-10km distance from the city centre as a proxy against the engine's 15.3km implies a notable but plausible circuity/detour factor. Recommend a direct Google Maps check before sign-off.","srinagar.nic.in,mappls.com,distancesfrom.com","15.3","15.5","True","False","COORD_OR_DETOUR","15.3","15.5","True","False","COORD_OR_DETOUR"
"SRSR02022028","Jehangir Chowk to Panzinara","REVIEW","OVER_OSRM","Peri_Urban","16.494","10.0","65","13-17 (sources disagree on whether Panzinara is the in-city Srinagar locality near Qamarwari/Parimpora, approx 3-5km away, or a similarly-named feature further out; haversine to the modelled coordinate is 13.0km)","34.071881,74.804719","34.150911,74.700235","There is a real in-city Panzinara locality in Srinagar (near Qamarwari/Parimpora, documented by onefivenine.com and jkpanchayat.jk.gov.in) only a few km from Jehangir Chowk, but the engine's destination coordinate sits roughly 13-16km further out, closer to the Budgam district boundary. This is either a legitimate but different, further-out Panzinara, or a geocoding mismatch between two same-named places; resolving which Panzinara was intended is needed before the 16.5km/82.5min figures can be confirmed.","onefivenine.com,jkpanchayat.jk.gov.in,mapsofindia.com","15.7","13.9","True","False","COORD_OR_DETOUR","15.7","13.9","True","False","COORD_OR_DETOUR"
"SRPW02022104","Jkpdc Jehangir Chowk to Wadwan","REVIEW","OTHER_MINOR","Peri_Urban","15.202","14.0","9","12-16 (a documented Wadwan village in Narbal block, Budgam district, is cited at approx 12km from Srinagar; however the engine's destination coordinate sits further southeast, closer to the Pampore/Pulwama belt, which may be a different, same-named feature)","34.077213,74.80362","34.020325,74.929229","JKPDC Jehangir Chowk is a confirmed, named real bus stop, but there is ambiguity over which 'Wadwan' is intended: a documented Wadwan village in Narbal block, Budgam district sits approx 12km from Srinagar, while the engine's destination coordinate points roughly 13-15km southeast toward the Pampore/Pulwama belt instead. The route distance (15.2km) is plausible for a corridor in that general direction but cannot be confirmed as the documented Narbal-Wadwan without resolving the name/coordinate ambiguity.","tellmyroute.com,onefivenine.com,distancebetween2.com","15.2","14.6","True","True","STALE_RERUN_FIXES","15.2","14.6","True","True","STALE_RERUN_FIXES"
"PWSR03020239","Koil to Srinagar","REVIEW","OVER_OSRM","Peri_Urban","32.725","17.5","87","26-28 (Koil village, Pulwama block, is documented at 28km from Srinagar per onefivenine.com village records, 7km east of Pulwama town near Pinglena/Malangpora)","33.875484,74.949409","34.07457,74.820502","Real, well-documented village (Koil, approx 28km from Srinagar per village records) with the model's 32.7km running about 17% above the cited figure - just outside a tight PASS band but a minor, plausible delta likely reflecting actual road routing versus the village record's more direct figure. Headway/fleet (35 min/6 buses) reasonable for a rural lifeline.","onefivenine.com,jkpanchayat.jk.gov.in,soki.in","32.7","35.7","True","False","COORD_OR_DETOUR","32.7","35.7","True","False","COORD_OR_DETOUR"
"SRBG02022203","LD to Budgam","REVIEW","OVER_OSRM","Peri_Urban","21.784","14.0","56","14","34.081954,74.805892","34.006185,74.641626","Multiple independent sources (Yatra, ClearCarRental, MapsOfIndia) converge on Srinagar-Budgam direct road distance of 9-14km, well under the engine's 21.8km; even allowing for LD not being the literal city centre, the modelled distance looks ~50-60% too long for a direct LD-Budgam corridor unless routed via a long detour.","yatra.com, clearcarrental.com, mapsofindia.com","21.8","27.7","True","False","COORD_OR_DETOUR","21.8","27.7","True","False","COORD_OR_DETOUR"
"SRSR02022529","Ma Road to Parimpora","REVIEW","OVER_OSRM","Peri_Urban","18.669","13.0","44","12-14","34.040034,74.877958","34.111187,74.747451","Corridor and coordinates are sound (both real, well-documented Srinagar landmarks), but no source gave an exact MA Road-to-Parimpora figure; engine's 18.7km is plausible for a winding intra-city route through Srinagar's congested core, but the modelled cycle time runs noticeably slower than expected for an 18-19km city route.","geoiq.io, mappls.com, kashmirlife.net","19.2","14.7","True","False","COORD_OR_DETOUR","19.2","14.7","True","False","COORD_OR_DETOUR"
"BGSR02020820","Narbal to Jehangir Chowk","REVIEW","OVER_OSRM","Peri_Urban","21.634","17.0","27","16-18","34.090399,74.658247","34.071881,74.804719","Corridor strongly verified as real and currently operated (existing Bus Route 10 Narbal Crossing-Pantha Chowk documented on tellmyroute with 21 stops); sources put Narbal at roughly 16-18km from Srinagar via the Gulmarg road, somewhat under the engine's 21.6km, and the modelled one-way time of ~54 min looks too slow for this stretch.","tellmyroute.com, distancesfrom.com, prokerala.com","19.9","22.6","True","True","STALE_RERUN_FIXES","19.9","22.6","True","True","STALE_RERUN_FIXES"
"SRGB02032704","Pantha Chowk to Sumbal","REVIEW","OVER_OSRM","Peri_Urban","35.736","29.0","23","27-31","34.044708,74.833526","34.264255,74.65946","Corridor and endpoints check out (Sumbal documented at roughly 19-31km from Srinagar depending on the reference point and route taken), and the 35.7km vs ~27-31km figure is within the wider tolerance for this route length, but the modelled one-way time of ~89 minutes is markedly slower than the ~40-50 min expected for this distance even with multiple stops - flagged as the largest time outlier in this batch.","distancebetween2.com, distancesfrom.com, rome2rio.com","35.7","31.5","True","False","COORD_OR_DETOUR","35.7","31.5","True","False","COORD_OR_DETOUR"
"SRBG02022903","Parimpora to Budgam","REVIEW","OVER_OSRM","Peri_Urban","31.385","17.0","85","13-21","34.111187,74.747451","34.006185,74.641626","Multiple sources converge on a 9-21km Srinagar/Parimpora-Budgam road distance (yatra.com 9-10km; citymeter.net/distancesfrom.com 13-21km), but the engine models this leg at 31.4km, well above that band; this looks like the engine routing a longer detour than the real shortest road path between these two points, the largest distance discrepancy found in this batch and worth an engineering check even though both endpoints individually are correctly placed.","yatra.com, citymeter.net, distancesfrom.com, mapsofindia.com","22.7","27.3","False","False","OTHER","22.7","27.3","False","False","OTHER"
"SRBG02032901","Parimpora to Chadora","REVIEW","OVER_OSRM","Peri_Urban","25.752","18.0","43","14-22","34.111187,74.747451","33.943466,74.79875","Corridor independently corroborated (sources confirm shared sumo/bus services run from Chadoora/Charar-e-Sharief to Srinagar's Parimpora, Batamaloo or Lal Chowk stands), and Srinagar-Chadoora is documented at 14km by some sources though up to 22km by others including the connector road; engine's 25.75km runs on the high side of this range (roughly 17-84% over depending on the reference figure used) - flagged for a routing recheck similar to the Budgam-bound routes above, though less severe.","alldistancebetween.com, distancesfrom.com, etourismkashmir.com","25.9","19.8","True","False","COORD_OR_DETOUR","25.9","19.8","True","False","COORD_OR_DETOUR"
