S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry,E-Bus Identifier
12964.0,SRINAGAR RTO,JK01K8314,22-Jun-07,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,05-Sep-97,05-Sep-22,04-Sep-27,WESTERN AREA OF SRINAGAR CITY,,LD,Budgam,"RAMBAGH, EXCROSSING, BUND , SRTC, NEW BRIDGE, KHAYA, RAJOURI KADAL",Ordinary Service,2007-2008,1997-1998,DIESEL,,
12969.0,SRINAGAR RTO,JK01K8494,27-Jun-07,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,09-Jul-87,09-Jul-23,08-Jul-28,WESTERN AREA OF SRINAGAR CITY,,LD,Budgam,"RAMBAGH, EXCROSSING, BUND , SRTC, NEW BRIDGE, KHAYA, RAJOURI KADAL",Ordinary Service,2007-2008,1987-1988,DIESEL,,
12971.0,SRINAGAR RTO,JK01K8509,27-Jun-07,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,22-May-85,22-May-20,21-May-25,EASTERN AREA OF SGR ROTATION BASIS,,Parimpora,Panthachowk,Dalgate,Ordinary Service,2007-2008,1985-1986,DIESEL,,
12972.0,SRINAGAR RTO,JK01K8677,02-Jul-07,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,26-Mar-97,26-Mar-24,25-Mar-29,EASTERN AREA OF SGR ROTATION BASIS,,Rangpora,Dalgate,Lalchowk,,2007-2008,1996-1997,DIESEL,,
12975.0,SRINAGAR RTO,JK01K8729,09-Jul-07,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,21-Nov-97,21-Nov-22,20-Nov-27,EASTERN AREA OF SGR ROTATION BASIS,,Parimpora,Panthachowk,Dalgate,,2007-2008,1997-1998,DIESEL,,
12984.0,SRINAGAR RTO,JK01L0738,30-Aug-07,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,13-May-90,13-May-22,12-May-27,EASTERN AREA OF SGR ROTATION BASIS,,Batamallo,Panthachowk,Tengpora,Ordinary Service,2007-2008,1990-1991,DIESEL,,
12996.0,SRINAGAR RTO,JK01L4231,12-Jan-08,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,19-Mar-97,19-Mar-21,18-Mar-26,WESTERN AREA OF SRINAGAR CITY,,Soura,Parimpora,Sakidafar,Ordinary Service,2007-2008,1996-1997,DIESEL,,
13003.0,SRINAGAR RTO,JK01L5080,23-Feb-08,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-Mar-08,23-Mar-22,22-Mar-25,WESTERN AREA OF SRINAGAR CITY,,Parimpora,Panthachowk,Dalgate,Ordinary Service,2007-2008,2007-2008,DIESEL,,
13012.0,SRINAGAR RTO,JK01L6238,07-Apr-08,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-Apr-08,30-Apr-23,29-Apr-28,EASTERN AREA OF SGR ROTATION BASIS,,Batamallo,Panthachowk,Tengpora,Ordinary Service,2008-2009,2008-2009,DIESEL,,
13025.0,SRINAGAR RTO,JK01L8016,07-Jun-08,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,23-May-89,23-May-23,22-May-28,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,Bemina,Batamallo,Ordinary Service,2008-2009,1989-1990,DIESEL,,
13027.0,SRINAGAR RTO,JK01L8711,09-Jul-08,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,30-May-97,30-May-25,29-May-30,EASTERN AREA OF SGR ROTATION BASIS,,Batamallo,Panthachowk,Tengpora,Ordinary Service,2008-2009,1997-1998,DIESEL,,
13028.0,SRINAGAR RTO,JK01L9235,16-Jul-08,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,09-Apr-92,09-Apr-23,08-Apr-28,EASTERN AREA OF SGR ROTATION BASIS,,"Hazratbal, Lalbazar",Parimpora,Rajiakadal,Ordinary Service,2008-2009,1992-1993,DIESEL,,
13029.0,SRINAGAR RTO,JK01L9414,23-Jul-08,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,03-Feb-09,03-Feb-20,02-Feb-25,WITHIN SRINAGAR CITY,,Rangpora,Lalchowk,Dalgate,Rural Service,2008-2009,2008-2009,DIESEL,,
13030.0,SRINAGAR RTO,JK01L9551,24-Jul-08,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Feb-12,03-Feb-24,02-Feb-29,WITHIN SRINAGAR CITY,,Rangpora,Lalchowk,Dalgate,,2008-2009,2011-2012,DIESEL,,
13045.0,SRINAGAR RTO,JK01M5973,21-Apr-09,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,17-Jul-93,17-Jul-24,16-Jul-29,WESTERN AREA OF SRINAGAR CITY,,Parimpora ,Budgam,"Batamallo,Tengpora",,2009-2010,1993-1994,DIESEL,,
13046.0,SRINAGAR RTO,JK01M7264,29-May-09,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,27-Sep-90,27-Sep-24,26-Sep-29,EASTERN AREA OF SGR ROTATION BASIS,,Parimpora,Pampore ,Dalgate,,2009-2010,1990-1991,DIESEL,,
13047.0,SRINAGAR RTO,JK01M7265,29-May-09,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,02-Jan-97,14-Jan-23,13-Jan-28,EASTERN AREA OF SGR ROTATION BASIS,,LD,Pampore,Dalgate,Ordinary Service,2009-2010,1996-1997,DIESEL,,
13066.0,SRINAGAR RTO,JK01N7330,27-Mar-10,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,04-Feb-08,04-Feb-24,03-Feb-29,EASTERN AREA OF SGR ROTATION BASIS,,Rangpora,Lalchowk,Dalgate,,2009-2010,2007-2008,DIESEL,,
13083.0,SRINAGAR RTO,JK01P3138,15-Oct-10,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,24-Dec-91,24-Dec-22,23-Dec-27,EASTERN AREA OF SGR ROTATION BASIS,,Hazratbal,LD,Rainawara,Ordinary Service,2010-2011,1991-1992,DIESEL,,
13086.0,SRINAGAR RTO,JK01P4491,11-Nov-10,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,26-Mar-97,26-Mar-23,25-Mar-28,EASTERN AREA OF SGR ROTATION BASIS,,Hazratbal,LD,Rainawara,Ordinary Service,2010-2011,1996-1997,DIESEL,,
13092.0,SRINAGAR RTO,JK01Q1984,10-May-11,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,05-Jul-01,05-Jul-23,04-Jul-28,WESTERN AREA OF SRINAGAR CITY,,Soura,Jehangir Chowk,Zonimar,,2011-2012,2001-2002,DIESEL,,
13106.0,SRINAGAR RTO,JK01R9707,11-May-12,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,22-Feb-92,22-Feb-23,21-Feb-28,EASTERN AREA OF SGR ROTATION BASIS,,LD,Pampore,Dalgate,Ordinary Service,2012-2013,1991-1992,DIESEL,,
13108.0,SRINAGAR RTO,JK01S2289,03-Jul-12,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,30-Sep-97,30-Sep-23,29-Sep-28,WESTERN AREA OF SRINAGAR CITY,,Soura,Jehangir Chowk,Zonimar,,2012-2013,1997-1998,DIESEL,,
13124.0,SRINAGAR RTO,JK01T6663,26-Apr-13,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,28-May-85,28-May-22,27-May-25,EASTERN AREA OF SGR ROTATION BASIS,,Soura,LD,Buchpora,Ordinary Service,2013-2014,1985-1986,DIESEL,,
13140.0,SRINAGAR RTO,JK01V3912,07-Mar-14,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,09-Jan-99,09-Jan-23,08-Jan-28,EASTERN AREA OF SGR ROTATION BASIS,,Soura,Hazratbal,Buchpora,Ordinary Service,2013-2014,1998-1999,DIESEL,,
13150.0,SRINAGAR RTO,JK01W1099,16-Jul-14,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,18-Oct-89,15-May-23,14-May-28,EASTERN AREA OF SGR ROTATION BASIS,,Baghat Shora,Lalchowk,Nowhata,Ordinary Service,2014-2015,1987-1988,DIESEL,,
13154.0,SRINAGAR RTO,JK01W3433,08-Aug-14,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,20-Aug-97,20-Aug-22,19-Aug-27,WESTERN AREA OF SRINAGAR CITY,,Parimpora ,Budgam,Jehangir Chowk,Ordinary Service,2014-2015,1997-1998,DIESEL,,
13168.0,SRINAGAR RTO,JK01W6410,11-Nov-14,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,10-May-89,10-May-25,09-May-30,EASTERN AREA OF SGR ROTATION BASIS,,Baghat Shora,Lalchowk,Nowhata,,2014-2015,1989-1990,DIESEL,,
13169.0,SRINAGAR RTO,JK01W6711,15-Nov-14,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,02-May-17,02-May-24,01-May-29,WESTERN AREA OF SRINAGAR CITY,,"Hazratbal, Lalbazar",Parimpora,Rajiakadal,,2014-2015,2017-2018,DIESEL,,
13172.0,SRINAGAR RTO,JK01W7761,06-Dec-14,MPV,Commercial,Omni Bus,Stage Carriage Permit,MEDIUM BUSES,04-Feb-17,05-Feb-22,04-Feb-27,WESTERN AREA OF SRINAGAR CITY,,Lawaypora,Jehangir Chowk,Qamarwari,,2014-2015,2016-2017,DIESEL,,
13196.0,SRINAGAR RTO,JK01X7450,08-Jun-15,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),16-Jun-15,15-Jun-20,14-Jun-25,OUTSKIRTS OF SRINAGAR CITY,,TRC ,HAZRATBAL," VIA SHALIMAR,NISHAT,NEHRU PARK,DALGATE",,2015-2016,2015-2016,DIESEL,,
13560.0,SRINAGAR RTO,JK03A1933,19-Jul-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,04-Feb-92,13-Mar-20,12-Mar-25,EASTERN AREA OF SGR ROTATION BASIS,,Soura,Hazratbal,Buchpora,Ordinary Service,2005-2006,1991-1992,DIESEL,,
13593.0,SRINAGAR RTO,JK057604,14-May-03,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,09-May-85,09-May-23,08-May-28,EASTERN AREA OF SGR ROTATION BASIS,,Soura,LD,Lalchowk,Ordinary Service,2003-2004,1985-1986,DIESEL,,
13594.0,SRINAGAR RTO,JK061476,15-Apr-06,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,04-Nov-97,19-Jul-25,18-Jul-30,EASTERN AREA OF SGR ROTATION BASIS,,Jehangir Chowk,JVC,Bemina,,2006-2007,1997-1998,DIESEL,,
,SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HARWAN,,,,,,,E-1
,SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HARWAN,,,,,,,E-2
,SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HARWAN,,,,,,,E-3
,SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HARWAN,,,,,,,E-4
,SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HARWAN,,,,,,,E-5
,SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HARWAN,,,,,,,E-6
,SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HARWAN,,,,,,,E-7
,SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,HAZRATBAL,,,,,,,E-1
,SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,HAZRATBAL,,,,,,,E-2
,SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,HAZRATBAL,,,,,,,E-3
,SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,HAZRATBAL,,,,,,,E-4
,SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,HAZRATBAL,,,,,,,E-5
,SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,HAZRATBAL,,,,,,,E-6
,SRINAGAR RTO,,,EBus,,,,,,,,,,LD,PANDACH,,,,,,,E-1
,SRINAGAR RTO,,,EBus,,,,,,,,,,LD,PANDACH,,,,,,,E-2
,SRINAGAR RTO,,,EBus,,,,,,,,,,LD,PANDACH,,,,,,,E-3
,SRINAGAR RTO,,,EBus,,,,,,,,,,LD,PANDACH,,,,,,,E-4
,SRINAGAR RTO,,,EBus,,,,,,,,,,LD,PANDACH,,,,,,,E-5
,SRINAGAR RTO,,,EBus,,,,,,,,,,PANTHACHOWK,NARBAL,QAMARWARI,,,,,,E-1
,SRINAGAR RTO,,,EBus,,,,,,,,,,PANTHACHOWK,NARBAL,QAMARWARI,,,,,,E-2
,SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HAZRATBAL,SAKIDAFAR,,,,,,E-1
,SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HAZRATBAL,SAKIDAFAR,,,,,,E-2
,SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HAZRATBAL,SAKIDAFAR,,,,,,E-3
,SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HAZRATBAL,SAKIDAFAR,,,,,,E-4
,SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HAZRATBAL,SAKIDAFAR,,,,,,E-5
,SRINAGAR RTO,,,EBus,,,,,,,,,,TRC,TRC,NAWABAZAR,,,,,,E-1
,SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,RANGRETH,IQBAL PARK,,,,,,E-1
,SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,RANGRETH,IQBAL PARK,,,,,,E-2
,SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,RANGRETH,IQBAL PARK,,,,,,E-3
,SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,RANGRETH,IQBAL PARK,,,,,,E-4
,SRINAGAR RTO,,,EBus,,,,,,,,,,TRC,BATPORA,NIGEEN,,,,,,E-1
,SRINAGAR RTO,,,EBus,,,,,,,,,,TRC,BATPORA,NIGEEN,,,,,,E-2
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Shanglipora,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Isganderpora,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Aboora,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Arizal,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Baderkote,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Loolpora,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Beeru,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Dardpora,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Gaguldara,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Ratnipora,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Ratsun,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Khag,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Karhama,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Chewdara,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Badrun,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Tangmarg,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Khoor,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Handwara,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Sheikhpora Kakuthal,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Trehgam Kup,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Chowkibal,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Milyaal,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Zurhama,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Tarthpora,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Gazriyal,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Hajin,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Safapora Sumbal,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Safapora Gbl,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Narwara Budgam,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Charishreef,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Pakherpora,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Tral Dadsur,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Pasthoon,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Naristan,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Pinglish,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Tral Nowdal,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Qazigund,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Mirpora Budgam,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Vijipopra,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Kupwara Day,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Uri Baramulla service oprated recently,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Tangdar,,,,,,,
,MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Zachaldar,,,,,,,
,B/O Bandipora,,,Regular Bus,,,,,,,,,,Bpr,Srinagar,,,,,,,
,B/O Bandipora,,,Regular Bus,,,,,,,,,,Bpr,Srinagar,,,,,,,
,B/O Bandipora,,,Regular Bus,,,,,,,,,,Bpr,Srinagar,,,,,,,
,B/O Bandipora,,,Regular Bus,,,,,,,,,,Srinagar,Bandipora-Soura,,,,,,,
,B/O Bandipora,,,Regular Bus,,,,,,,,,,Srinagar,BanKoot-Sgr,BPR,,,,,,
,B/O Bandipora,,,Regular Bus,,,,,,,,,,Srinagar,Arin- Srinagar,,,,,,,
,B/O Bandipora,,,Regular Bus,,,,,,,,,,Malangam,Srinagar,,,,,,,
,B/O Bandipora,,,Regular Bus,,,,,,,,,,BPR,Baramulla,,,,,,,
,Sopore Depot,,,Regular Bus,,,,,,,,,,Srinagar,Sopore-Srinagar,,,,,,,
,Sopore Depot,,,Regular Bus,,,,,,,,,,Srinagar,Sopore-Srinagar,,,,,,,
,Sopore Depot,,,Regular Bus,,,,,,,,,,Srinagar,Zaloora-Sgr,,,,,,,
,Sopore Depot,,,Regular Bus,,,,,,,,,,Srinagar,Botingue- Sgr,,,,,,,
,Baramulla Depot,,,Regular Bus,,,,,,,,,,Srinagar,Baramulla-Srinagar,,,,,,,
,Baramulla Depot,,,Regular Bus,,,,,,,,,,Srinagar,Uri- Srinagar,,,,,,,
,Baramulla Depot,,,Regular Bus,,,,,,,,,,KamalKote,Baramulla,,,,,,,
,Baramulla Depot,,,Regular Bus,,,,,,,,,,Garkote,Baramulla,,,,,,,
,Baramulla Depot,,,Regular Bus,,,,,,,,,,Nambia,Baramulla,,,,,,,
,Baramulla Depot,,,Regular Bus,,,,,,,,,,Fathgath,Sgr,,,,,,,
,Baramulla Depot,,,Regular Bus,,,,,,,,,,Pehilpora,Uri,BLA,,,,,,
,Baramulla Depot,,,Regular Bus,,,,,,,,,,Srinagar,Kachoo- Baramulla,,,,,,,
,Baramulla Depot,,,Regular Bus,,,,,,,,,,Maidanan,Srinagar,,,,,,,
,Baramulla Depot,,,Regular Bus,,,,,,,,,,Ijara,Srinagar,,,,,,,
,Baramulla Depot,,,Regular Bus,,,,,,,,,,Baramula,Kupwra,,,,,,,
,Kupwara Depot,,,Regular Bus,,,,,,,,,,Srinagar,Kupwara- Srinagar,,,,,,,
,Kupwara Depot,,,Regular Bus,,,,,,,,,,Srinagar,Sogam- Srinagar,,,,,,,
,Kupwara Depot,,,Regular Bus,,,,,,,,,,Srinagar,Kupwara-tarthpora- Sgr,,,,,,,
,Kupwara Depot,,,Regular Bus,,,,,,,,,,Srinagar,Kupwara-Srinagar,,,,,,,
,Kupwara Depot,,,Regular Bus,,,,,,,,,,Srinagar,Kapwara-Tekipora-,,,,,,,
,B/O Shopian,,,Regular Bus,,,,,,,,,,Shopian,Srinagar,,,,,,,
,B/O Shopian,,,Regular Bus,,,,,,,,,,Sedow,Srinagar,,,,,,,
,B/O Shopian,,,Regular Bus,,,,,,,,,,Harman,Srinagar,,,,,,,
,B/O Shopian,,,Regular Bus,,,,,,,,,,Kaprin,Srinagar,,,,,,,
,B/O Shopian,,,Regular Bus,,,,,,,,,,Nehama,Srinagar,,,,,,,
,B/O Kulgam,,,Regular Bus,,,,,,,,,,Khull Ahmadabad,Sgr,,,,,,,
,B/O Kulgam,,,Regular Bus,,,,,,,,,,D.H.Pora,Srinagar,,,,,,,
,B/O Kulgam,,,Regular Bus,,,,,,,,,,Pariwan,Srinagar,,,,,,,
,B/O Kulgam,,,Regular Bus,,,,,,,,,,Srinagar,Kulgam- Srinagar,,,,,,,
,B/O Kulgam,,,Regular Bus,,,,,,,,,,Srinagar,Katrosoo-Srinagar,,,,,,,
,B/O Kulgam,,,Regular Bus,,,,,,,,,,Srinagar,Yaripora-Srinagar,,,,,,,
,B/O Pulwama,,,Regular Bus,,,,,,,,,,Pulwama,Srinagar,,,,,,,
,B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Pulwama- Srinagar,,,,,,,
,B/O Pulwama,,,Regular Bus,,,,,,,,,,Koil,Srinagar,,,,,,,
,B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Wasoora- Srinagar,,,,,,,
,B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Lettar-Achan-Sgr,,,,,,,
,B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Letter-Srinagar,,,,,,,
,B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Heff- Srinagar,,,,,,,
,B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Keller-Shopian-Sgr,,,,,,,
,B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Keller- Srinagar,,,,,,,
,B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Keller- Srinagar,,,,,,,
,B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Achguze- Srinagar,,,,,,,
,B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Sangerwani- Srinagar,,,,,,,
,B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Pakherpora- Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Phalgam- Anantnagh,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Mawan- Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Devsur-Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Lammer- Anantnagh,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Kaprun- Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Chowgund- Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Shangus- Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Uttersoo- Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Vailo,Srinagar,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Chakil pora- Sgr,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Haftnar,Anantnagh,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Kherum- Anantnagh,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Matigawran- Ang,,,,,,,
,Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Shopian,,,,,,,
,Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,New Khanda,,,,,,,
,Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,By pass,,,,,,,
,Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Khrew,,,,,,,
,Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Khrew,,,,,,,
,Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Railway,,,,,,,
,Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Bypass,,,,,,,
,Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,GulaBagh,,,,,,,
,Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Bypass,,,,,,,
,Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Ratnipura,,,,,,,
,Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Bypass,,,,,,,
,Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Buchpora,,,,,,,
,Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Pampore,,,,,,,
,Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Budgam,,,,,,,
,Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Pampore,,,,,,,
