"Route_Code","Route_Name","Eng_Type","Old_KM","New_KM","New_Cycle","Old_Fleet","New_Fleet","Confidence","Headway","Reason","Sources"
"SRSR02020223","Baghat Shora to Lalchowk","Urban","13.0","4.5","36.0","4","3","AUTO","35","Baghat (Shora) is documented as only 2-7 km from Lal Chowk by multiple sources (Barzulla ~2km, Bagh-e-Mehtab ~7km), but the engine models a 13 km, 52-minute one-way route for this short intra-city hop -- the routing/coordinate likely picked up a circuitous OSRM path or a less-central 'Shora' sub-point; recommend verifying the exact Baghat Shora coordinate and routing.","onefivenine.com (Baghat locality), distancesfrom.com, latlong.net (Lal Chowk)"
"SRSR02023736","Safakadal to SMHS","Urban","6.26","1.5","12.0","3","2","HIGH","35","Safakadal-SMHS is ~0.8-1.6 km (engine 6.26 km stale); set to verified ~1.5 km.","onefivenine.com,jkb.bank.in,justdial.com"
"BGSR02020820","Narbal to Jehangir Chowk","Peri_Urban","21.63","17.0","85.0","5","4","AUTO","35","Corridor strongly verified as real and currently operated (existing Bus Route 10 Narbal Crossing-Pantha Chowk documented on tellmyroute with 21 stops); sources put Narbal at roughly 16-18km from Srinagar via the Gulmarg road, somewhat under the engine's 21.6km, and the modelled one-way time of ~54 min looks too slow for this stretch.","tellmyroute.com, distancesfrom.com, prokerala.com"
"SRSR01020529","Lalbazar to Parimpora","Urban","12.65","10.0","80.0","4","4","AUTO","35","Distance and corridor are plausible but on the upper edge of tolerance; cycle time is generous - flag for headway/fleet re-check rather than route validity","onefivenine.com, indiamapia.com"
"SRSR02013004","Qamarwari to Hazratbal","Urban","14.08","8.0","64.0","5","3","AUTO","35","Web sources independently confirm Qamarwari-Hazratbal is ~7 km/~12-20 min by road, but engine models 14.08 km and a ~55-min one-way time — roughly double; likely an indirect/looped path or unit issue in the engine route geometry.","alldistancebetween.com,distancesfrom.com,waze.com"
"SRSR02023810","Saidakadal to Bypass","Urban","13.28","7.5","60.0","7","4","AUTO","20","Engine KM (13.28) is roughly double the haversine (6.33 km) and the implied detour factor (~2.1x) is high even for Srinagar's old-city street grid; corridor existence (old city to bypass) is plausible but the specific routed distance looks inflated.","greaterkashmir.com,mapcarta.com,kashmirobserver.net"
"SRSR02022028","Jehangir Chowk to Panzinara","Peri_Urban","16.49","10.0","50.0","4","3","AUTO","35","There is a real in-city Panzinara locality in Srinagar (near Qamarwari/Parimpora, documented by onefivenine.com and jkpanchayat.jk.gov.in) only a few km from Jehangir Chowk, but the engine's destination coordinate sits roughly 13-16km further out, closer to the Budgam district boundary. This is either a legitimate but different, further-out Panzinara, or a geocoding mismatch between two same-named places; resolving which Panzinara was intended is needed before the 16.5km/82.5min figures can be confirmed.","onefivenine.com,jkpanchayat.jk.gov.in,mapsofindia.com"
"SRSR02023020","Qamarwari to Jehangir Chowk","Urban","12.66","5.5","44.0","4","3","AUTO","35","Engine KM (12.66) is more than double the haversine (4.38 km) and well above any reasonable road-detour factor for two adjacent central-Srinagar points; route geometry likely includes an unnecessary loop. Corridor and headway/fleet otherwise sane.","tellmyroute.com,kashmirlife.net,onefivenine.com"
"SRSR02021807","JVC to Batwara","Urban","14.66","9.5","76.0","5","4","AUTO","35","KM premium (+66% over haversine) and slow implied speed (~15 km/h one-way) are both on the high end; corridor and endpoints (JVC Hospital Bemina; Batwara) are real, but the routing/cycle-time should be rechecked against an actual road path.","mappls.com (JVC Hospital Bemina),justdial.com,onefivenine.com (Jawahar Nagar)"
"SRSR02021523","GBS to LAL Chowk","Peri_Urban","20.33","2.93","20.0","4","2","HIGH","35","Origin re-geocoded to General Bus Stand Batamaloo; OSRM-rerouted to Lal Chowk = 2.93 km (was 20.3 km spurious). Geometry + numbers corrected.","onefivenine.com,kashmirlife.net,manual haversine calculation"
"SRSR02011109","Chanapora to Soura","Urban","14.11","11.5","87.8","7","6","AUTO","20","KM delta is within tolerance but the implied average speed (~16 km/h one-way) is slow even for Srinagar city traffic; verify whether the route truly transits downtown or has a more direct alignment via the bypass.","wikipedia.org (Soura, Srinagar),onefivenine.com,alldistancebetween.com"
"SRSR02020613","Batmaloo to Dalgate","Urban","5.37","3.5","28.0","4","3","AUTO","20","Modelled road distance (5.4 km) is roughly 80% longer than straight-line (3.0 km); within tolerance for a short urban route given the documented Dalgate one-way detours, but extremely low load (0.008) suggests this route may be redundant with other Batamaloo-area services — flag for de-duplication.","onefivenine.com,distcalculator.com,tribuneindia.com"
"SRSR02022941","Hazratbal, Lalbazar","Urban","8.81","6.36","52.0","4","3","HIGH","35","Origin re-geocoded to the real Hazratbal shrine (34.127,74.836) after the independent blind audit flagged the pin at Parimpora; OSRM-rerouted to Lal Bazar = 6.36 km. Geometry redrawn.","onefivenine.com (Lal Bazar); wikipedia.org (Hazratbal); indiainfo.net"
"SRSR02022229","LD to Parimpora","Urban","10.44","8.5","68.0","4","3","AUTO","35","Modelled one-way time appears generous relative to the short distance; otherwise corridor and coordinates check out fine","onefivenine.com, indiamapia.com, jksrtc.co.in"
"SRSR01020913","Soura to Dalgate","Urban","11.74","7.0","56.0","6","4","AUTO","20","Real road distance (~7 km via distancesfrom.com) is well below the modelled 11.745 km, a 68% overstatement; likely the engine routed via a longer corridor than the direct Soura-Dalgate Bridge road. Headway 20 min and fleet 6 are still plausible for an urban link given the high cycle time used.","distancesfrom.com, Wikipedia Soura"
"SRSR01010809","Rangpora to Soura","Peri_Urban","22.05","4.0","20.0","5","2","MED","35","Rangpora & Soura adjacent (~3-5 km); engine 22 km is a mis-snap. Set to 4 km.","Wikipedia Buchpora,Wikipedia Soura Srinagar,distancesfrom.com Lal Chowk-Soura via Nowhatta"
"SRBG02022203","LD to Budgam","Peri_Urban","21.78","14.0","70.0","5","3","AUTO","35","Multiple independent sources (Yatra, ClearCarRental, MapsOfIndia) converge on Srinagar-Budgam direct road distance of 9-14km, well under the engine's 21.8km; even allowing for LD not being the literal city centre, the modelled distance looks ~50-60% too long for a direct LD-Budgam corridor unless routed via a long detour.","yatra.com, clearcarrental.com, mapsofindia.com"
"SRSR02023029","Qamarwari to Parimpora","Urban","14.58","2.5","20.0","5","2","AUTO","35","Severe distance mismatch: independently-confirmed adjacency (~0.8-3 km, both on JKRTC Route 9) versus engine's 14.58 km / ~55-min one-way; engine geometry for this pair is almost certainly wrong (likely picked up a long detour or mis-snapped node).","mappls.com,kashmirlife.net,onefivenine.com"
"SRSR01020822","Rangpora to LD","Peri_Urban","21.92","9.5","47.5","5","3","AUTO","35","Engine's Rangpora-to-LD distance (21.9 km) is far above the ~9-11 km a direct Ganderbal-road-to-Karan Nagar run would imply (haversine only 8.93 km); this is the largest circuity outlier in the batch and likely reflects either a coordinate snap error or an unrealistic routed path -- recommend re-running OSRM for this O-D pair specifically.","Wikipedia Buchpora,srinagar.nic.in Lal Ded Hospital,mappls.com Lalla Ded Hospital"
"SRBG02023911","Srinagar to Shanglipora","Regional_District","42.04","35.0","105.0","4","4","AUTO","50","Shanglipora is a village near Beerwah/Khansahib (W Budgam); Beerwah is 27-35 km by road, Shanglipora a few km further (~33-38 km). Modelled 42 km is ~20% high, likely a via-routing detour. Corridor real, headway sane. Fix: verify routing does not loop.","wikipedia.org/wiki/Beerwah; citymeter.net; onefivenine.com"
"SRBG02023905","Srinagar to Isganderpora","Regional_District","33.62","26.5","79.5","4","3","AUTO","50","Iskanderpora (Beerwah block, pincode 193411 with Beerwah/Chewdara/Kandoora) sits in the ~25-28 km belt; engine 33.6 km is ~27% high (via-routing overshoot). Real corridor; trim Route_KM.","indiainfo.net pincode 193411 (Kandoora cluster); onefivenine.com Beerwah villages; en.wikipedia.org/wiki/Beerwah"
"SRBG02013902","Srinagar to Beeru","Regional_District","15.28","25.0","75.0","2","3","AUTO","50","Raiyar (Beeru) in Khan-Sahib block is ~25 km from Srinagar by road; engine coord (34.014,74.719) sits only 11.5 km straight-line, pinned too close to Srinagar (real Beeru ~33.96N,74.65E). Engine 15.3 km under-models by ~39%. Re-pin endpoint and re-route.","onefivenine.com/Raiyar-Beeru/Khan-sahib; villageinfo.in raiyar-beruwa; budgam.nic.in Doodhpathri"
"SRPW02033906","Srinagar to Ratnipora","Regional_District","25.57","32.5","97.5","3","3","AUTO","50","Ratnipora is real (~5-6 km from Awantipora). Published distances route via Awantipora (~35-40 km); engine 25.6 km appears to take a more direct line and may UNDER-model the served corridor by ~29%. Confirm the route actually serves Awantipora/NH.","distancesfrom.com (Pulwama-Awantipora), distancebetween2.com (Srinagar-Awantipora), pulwama.gov.in"
"SRBG02023904","Srinagar to Chewdara","Regional_District","28.16","23.0","69.0","3","3","AUTO","50","Chewdara (Beerwah block) is ~23 km from Srinagar (3 km from Beerwah). Engine 28.2 km is ~22% high. Real corridor and service exist; trim Route_KM toward ~23 km.","onefivenine.com Chewdara-A/Beerwah; en.wikipedia.org/wiki/Chewdara; indiainfo.net pincode 193411"
"SRBG02023902","Srinagar to Badrun","Regional_District","33.31","25.0","75.0","3","3","AUTO","50","Badran/Budran is a village in Beerwah/Magam tehsil ~25 km from Srinagar; engine 33.3 km is ~33% high (likely a via-routing/coord overshoot west). Corridor real and served. Suggest trimming Route_KM toward ~25 km.","onefivenine.com (Budran/Khag); en.wikipedia.org/wiki/Badran,_Kashmir; en.wikipedia.org/wiki/Beerwah"
"SRKW02013901","Srinagar to Chowkibal","Regional_District","94.97","125.5","376.5","7","10","AUTO","50","Chowkibal (Kupwara, on the Tangdhar/Sadhna Pass approach) real road ~125 km; engine 94.97 km under-models by ~25% - routing engine under-counts the Srinagar-Kupwara-Chowkibal hill road. Corridor real, near LoC. Lengthen Route_KM/cycle.","distancesfrom.com srinagar-to-Chowkibal-Kupwara (125 km); alldistancebetween.com srinagar-chowkibal-kupwara"
"SRPW02043902","Srinagar to Pasthoon","Regional_District","50.0","41.5","124.5","4","4","AUTO","50","Pasthoon is a Tral-tehsil (Pulwama) village; coords correct district. Engine 50.0 km runs ~20% over a likely 38-45 km road via Awantipora (Tral itself is 40 km from Srinagar). KM over-modelled; verify routing.","pulwama.gov.in, en.wikipedia.org/wiki/Tral, yatra.com"
"SRBR02023902","Srinagar to URI Baramulla","Regional_District","77.62","101.0","303.0","6","9","AUTO","50","Uri via Baramulla on NH1 is ~100-102 km by road (distancesfrom 102 km) vs modelled 77.6 km - ~24% under. Engine likely under-routed the Baramulla-Uri mountain leg. Coords good. Corridor real, well-served to Baramulla, thinner Baramulla-Uri (border/army area). Fix: correct road km to ~100 km, refleet/headway.","en.wikipedia.org/wiki/Srinagar-Baramulla_highway; distancesfrom.com srinagar-to-Uri (102 km); nativeplanet.com"
"SRKW02033906","Srinagar to Tangdar","Regional_District","120.83","151.0","453.0","10","12","AUTO","50","Endpoint misplaced ~27 km short of actual Tangdhar (real town 34.40,73.86 across Sadhna Pass). Real road ~150-152 km vs modelled 121 km; engine under-models the 3000m Sadhna Pass switchbacks. 50-min headway is unrealistic for a border road truly served ~1-2 buses/day. Seasonality unmodelled (pass closes in winter).","wanderon.in/blogs/teetwal-valley; mapsofindia.com/villages...karnah/tangdhar; kupwara.nic.in/tourist-place/sadhna"
"BRSR05020139","Zaloora to Srinagar","Regional_District","63.13","52.0","156.0","5","5","AUTO","50","Zaloora is a village in the Zaingair belt of Sopore division. Srinagar-Sopore ~49 km by road; Zaloora a few km off (~50-55 km). Modelled 63.1 km is ~21% high - likely a via-routing detour. Corridor real and well-served. Fix: verify routing does not loop via Baramulla.","en.wikipedia.org/wiki/Sopore; distancebetween2.com sopore/srinagar (49 km); distancesfrom.com"
"KWSR03020339","Kupwara to Srinagar","Regional_District","102.96","88.0","264.0","9","7","AUTO","50","Real Kupwara-Srinagar driving distance is ~86.7km (tourtravelworld/distancebetween2); engine 103km is +19% over. Likely routes via a longer Handwara/Sopore detour rather than the direct line. Corridor and service real (SRTC runs it). Recommend trimming Route_KM toward ~88-90km; fleet of 9 then eases.","tourtravelworld.com srinagar-to-kupwara, distancebetween2.com/srinagar/kupwara, kupwara.nic.in, jksrtc.co.in"
"SPSR01020539","Sedow to Srinagar","Regional_District","57.77","46.0","138.0","5","4","AUTO","50","Sedow is officially 46 km from Srinagar (shopian.nic.in / icbse); engine models 57.8 km (+26%). Endpoint correct but distance over-modelled - recommend re-check OSRM path, target ~46-50 km.","shopian.nic.in, geolysis.com, icbse.com"
"PWSR03020239","Koil to Srinagar","Peri_Urban","32.73","17.5","87.5","6","4","AUTO","35","Real, well-documented village (Koil, approx 28km from Srinagar per village records) with the model's 32.7km running about 17% above the cited figure - just outside a tight PASS band but a minor, plausible delta likely reflecting actual road routing versus the village record's more direct figure. Headway/fleet (35 min/6 buses) reasonable for a rural lifeline.","onefivenine.com,jkpanchayat.jk.gov.in,soki.in"
"ANSP01010106","Anantnagh to Shopian","Regional_District","43.84","37.0","111.0","5","5","AUTO","35","Real driving distance is ~34 km direct (distancebetween2) up to ~40 km via Zainapora; engine 43.8 km is ~18% high. Recommend trimming Route_KM toward ~37-40 km.","distancebetween2.com, distancesfrom.com, jksrtc.co.in"
"SRBG02023903","Srinagar to Budgam","Urban","23.64","15.91","92.0","7","5","HIGH","35","Dest re-geocoded to Budgam town (34.018,74.714); OSRM-rerouted from central Srinagar = 15.9 km (was 23.6 km, pin too far west). Geometry + numbers corrected.","yatra.com Budgam-Srinagar distance, mapsofindia.com, clearcarrental.com, Wikipedia Budgam district"
"SRBG02033901","Srinagar to Chadoora","Urban","16.89","14.5","116.0","5","5","AUTO","35","Chadoora is consistently cited as 14-15 km from Srinagar (alldistancebetween.com, Wikipedia) versus the modelled 16.895 km, about a 17% overstatement at the edge of acceptable tolerance, and the one-way time of ~68 min is roughly 3x the realistic 20-25 min drive even accounting for the documented narrow/congested road locals want widened. Corridor is real and well-used; headway 35 min and fleet 5 are plausible for a peri-urban feeder of this length.","alldistancebetween.com Srinagar-Chadoora, Wikipedia Chadoora, facebook.com Dr Raja Muzaffar Bhat 4-lane road petition"
"SRBG02014001","TRC Srinagar to Airport","Urban","14.52","12.0","96.0","5","4","AUTO","35","Real, well known TRC-to-Airport corridor with both endpoints correctly placed; however multiple sources converge on roughly 12 km while the engine models 14.5 km (about 21% over), and the modelled one-way time of ~58 min is long for this corridor versus the commonly cited 20-30 min airport transfer time -- worth rechecking the routed path for unnecessary detour.","distancesfrom.com, distcalculator.com, clearcarrental.com"
"SRGB02020503","Batamaloo to Manigam","Regional_District","54.47","37.09","","13","13","HIGH","15","SSCL trunk. Blind audit found the destination pin ~15 km too far east; re-geocoded to real Manigam (Lar, Ganderbal 34.282,74.800), OSRM-rerouted = 37.1 km (was 54.5). Geometry + distance corrected; SSCL fleet kept at the empirical 13.","blind re-verification; onefivenine.com Manigam; distancebetween2.com Srinagar-Ganderbal"
